Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,probabilities,problem_id,processing_pattern,sigma,trial_weight_con,trial_weight_exp,trial_weight,trial_weight_con_exclude,trial_weight_exp_exclude,trial_weight_exclude,strategy,km_strategy,km_WADD,km_SAT_TTB,km_TTB_SAT,km_TTB,cluster_centers
0.0,0.0,0.0,1.0,0.0,0.0,0.316,0.0,0.1875,1.0,6.0,91.59999999999998,"[0.0, 0.0, 91.60000000000092, 0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",85.59999999999998,"[0.0, 0.0, 85.60000000000058, 0.0, 0.0, 0.0]",0.9344978165938864,"[0.0, 0.0, 0.9344978165938773, 0.0, 0.0, 0.0]","[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,1.2,1.058201058201058,1.1209439528023601,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.8965, 1.0, 1.0, 0.9883, 0.678, 0.3218, 0.1149, 1.0, 0.9653, 0.4138, 0.0115, 0.0, -0.0, 0.6323, 0.506, 0.1149, 0.0, 0.0, 0.0], [1.0, 0.8335, 0.545, 0.2974, 0.0, -0.0, 0.1577, 0.05405, 0.004505, 0.004505, 0.0, 0.0, 0.004505, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.9966, 0.9434, 0.7764, 1.0, 1.0, 0.4077, 0.1737, 0.03546, 0.00709, 0.1277, 0.06384, 0.0, 0.0, 0.0, 0.003546, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0.727, 0.2393, 0.0, 0.0, -0.0, 0.0, 0.004784, -0.0, -0.0, 0.0, 0.0, 0.0, 0.004784, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0]]"
0.021,0.0,0.0,0.0,0.979,0.0,0.316,0.0182091195830184,0.0765989377834467,1.0,6.4510000000000005,95.44000000000004,"[95.4400000000013, 0.0, 0.0, 0.0, 0.0, 95.44000000000003]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[-90, 14, -114, -41, 210, 42], [-91, 101, 22, 57, 105, 86], [94, -30, 150, -10, -154, 52], [-78, -66, 54, 90, -24, 34]]",88.98900000000003,"[88.96502553626271, 0.0, 0.0, 0.0, 0.0, 90.1066666666667]",0.932407795473596,"[0.932156596146915, 0.0, 0.0, 0.0, 0.0, 0.9441184688460463]","[0.01999999999999999, 0.01, 0.47, 0.5]",VHZfp8VcgwqWdru,-0.6583809523809523,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,1.2,1.058201058201058,1.1209439528023601,"['TTB_SAT', 'Other', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.0,0.3,0.7,0.0,
0.0,0.0,0.04,0.0,0.96,0.0,0.316,0.03630940665154952,0.08997611678004534,4.0,4.574,55.81399999999999,"[55.517916666666196, 62.92000000000004, 0.0, 0.0, 0.0, 0.0]",0.8870629370629369,"[0.8823572261072239, 1.0, 0.0, 0.0, 0.0, 0.0]","[[-101, -31, 34, -10, 30, -23], [-98, -42, -2, 84, 60, -107], [65, -46, -22, -61, -87, 97], [84, 85, 84, 93, 18, -17]]",37.518,"[36.79291666666601, 54.92000000000003, 0.0, 0.0, 0.0, 0.0]",0.5962809917355371,"[0.5847570989616473, 0.872854418308964, 0.0, 0.0, 0.0, 0.0]","[0.06, 0.26, 0.14, 0.54]",3uXiz4V3sUrSmY9,-0.6537333333333334,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,1.0666666666666669,0.9947089947089948,1.0265486725663715,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']",0.0,0.8,0.2,0.0,
0.0,0.0,0.172,0.16399999999999998,0.664,0.0,0.316,0.017219444444444447,0.1875,4.0,3.989,68.86,"[68.86000000000045, 68.86000000000011, 68.86000000000008, 0.0, 0.0, 0.0]",1.0,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[[-69, 74, -146, 18, -66, -39], [-59, 123, 55, -117, -17, -38], [32, 53, 83, 32, -9, -48], [-24, -104, 109, 21, 25, 52]]",52.90400000000002,"[53.95036144578355, 56.534418604651165, 44.859999999999914, 0.0, 0.0, 0.0]",0.7682834737147837,"[0.7834789637784341, 0.8210052077352771, 0.651466744118504, 0.0, 0.0, 0.0]","[0.06, 0.07, 0.81, 0.06]",si1lNmExwYp0qHd,-1.0,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,1.0666666666666669,0.9947089947089948,1.0265486725663715,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,
0.0,0.0,0.0,0.0,1.0,0.0,0.316,0.015491130007558581,0.098523891723356,4.0,6.157,77.4,"[77.39999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[61, -42, -94, -52, -163, 53], [85, -65, -84, 88, 40, 87], [53, -6, 64, -32, 83, -117], [101, 67, 39, -108, -29, 8]]",52.771999999999984,"[52.77200000000092, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6818087855297158,"[0.681808785529711, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.51, 0.17, 0.01, 0.31]",55wGWrG0AsulSFG,-0.7842476190476191,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,1.0666666666666669,0.9947089947089948,1.0265486725663715,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']",0.0,0.2,0.5,0.3,
0.0,0.0,0.0,0.0,1.0,0.0,3.162,0.015023705881660422,0.012671722435489915,1.0,12.181,52.13,"[52.129999999999235, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 65, 8, 6, 47, 37], [23, -138, 57, 1, -97, -73], [-83, -200, 54, 89, 118, -117], [-32, 87, 70, -56, -19, -5]]",39.94899999999999,"[39.948999999999806, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7663341645885284,"[0.7663341645885369, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.15, 0.13, 0.43, 0.29]",aA237K2hoPccOCz,-0.4642952380952381,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,0.96,0.9735449735449736,0.9675516224188789,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD']",1.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,1.0,0.0,3.162,0.003060601851851852,0.08296708333333333,1.0,8.747,40.94000000000001,"[40.940000000000005, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-85, 44, -96, -82, -36, 62], [-103, 20, 12, 8, 1, -43], [41, -70, 89, 62, 54, 43], [19, -133, -24, 127, 45, 36]]",32.193000000000005,"[32.192999999999444, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7863458720078164,"[0.7863458720078262, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.14, 0.45, 0.05, 0.36]",l6dGWbHa5ETDOcj,-0.9557063492063492,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,0.96,0.9735449735449736,0.9675516224188789,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.0,0.0,1.0,0.0,
0.0,0.0,0.038,0.821,0.141,0.0,3.162,0.0009944444444444443,0.1875,1.0,5.8210000000000015,79.15,"[79.14999999999979, 79.15000000000005, 79.15000000000101, 0.0, 0.0, 0.0]",1.0,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[[59, -89, 21, -2, 37, 133], [-18, -27, 46, 2, -14, -42], [59, -48, -70, -34, 54, 132], [138, -20, 55, -19, -23, -19]]",73.329,"[74.1499999999998, 74.15000000000005, 73.15000000000099, 0.0, 0.0, 0.0]",0.9264560960202152,"[0.9368288060644365, 0.936828806064434, 0.9241945672773317, 0.0, 0.0, 0.0]","[0.13, 0.2, 0.22, 0.45]",8EHleEowa3Bcw0G,-1.0,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,0.96,0.9735449735449736,0.9675516224188789,"['TTB_SAT', 'TTB', 'TTB', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,
0.0,0.0,0.0,0.0,1.0,0.0,0.316,0.0041160927456382005,0.08198466683884298,1.0,8.611,23.27,"[23.270000000000355, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-62, -42, -7, -47, -26, -14], [-13, -71, 120, -32, 98, -95], [-68, 29, -35, -55, -23, 22], [23, 4, 10, 112, 48, -82]]",14.659000000000004,"[14.65900000000031, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6299527288354104,"[0.6299527288354109, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.59, 0.22, 0.02, 0.17]",EDYV3TvmyqJrQOZ,-0.9226666666666666,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,1.2,1.058201058201058,1.1209439528023601,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'WADD', 'TTB_SAT']",0.1,0.0,0.9,0.0,
0.002,0.0,0.0,0.0,0.998,0.0,3.162,0.01640223251028806,0.04338773533950617,1.0,8.632,56.45000000000002,"[56.44999999999908, 0.0, 0.0, 0.0, 0.0, 56.45]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[7, -95, 8, -33, 43, -148], [36, -62, 14, 74, 0, 49], [-64, -38, 68, 51, -33, -99], [-18, -90, 7, 63, -23, -100]]",47.81800000000001,"[47.81673346693331, 0.0, 0.0, 0.0, 0.0, 48.45]",0.8470859167404783,"[0.8470634803708391, 0.0, 0.0, 0.0, 0.0, 0.858281665190434]","[0.06, 0.31, 0.35, 0.28]",U6NalRd3JS7aHgM,-0.6967960317460318,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,0.96,0.9735449735449736,0.9675516224188789,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.0,0.0,1.0,0.0,
