Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,probabilities,problem_id,processing_pattern,sigma,trial_weight_con,trial_weight_exp,trial_weight
0.0,0.0,0.555,0.0,0.445,0.0,0.316,0.06797222222222223,0.1875,1.0,2.3609999999999998,84.05892999999998,"[82.62078651685354, 85.21203603603543, 0.0, 0.0, 0.0, 0.0]",0.9176739082969432,"[0.9019736519307165, 0.9302624021401288, 0.0, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",81.69793,"[79.26348314606705, 83.64987387387329, 0.0, 0.0, 0.0, 0.0]",0.8918987991266376,"[0.865321868406848, 0.913208230064128, 0.0, 0.0, 0.0, 0.0]","[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.254,0.0,0.746,0.0,0.316,0.05023725434618293,0.11865646541950113,1.0,3.97,67.76252000000001,"[77.19815013404873, 40.04999999999996, 0.0, 0.0, 0.0, 0.0]",0.7100012573344511,"[0.8088657809518871, 0.4196353730092184, 0.0, 0.0, 0.0, 0.0]","[[-90, 14, -114, -41, 210, 42], [-91, 101, 22, 57, 105, 86], [94, -30, 150, -10, -154, 52], [-78, -66, 54, 90, -24, 34]]",63.79252,"[72.35364611260091, 38.64842519685038, 0.0, 0.0, 0.0, 0.0]",0.6684044425817267,"[0.758106099251894, 0.4049499706291951, 0.0, 0.0, 0.0, 0.0]","[0.01999999999999999, 0.01, 0.47, 0.5]",VHZfp8VcgwqWdru,-0.7975130365022062,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.703,0.0,0.297,0.0,0.316,0.10947222222222223,0.1875,4.0,1.393,38.566159999999996,"[40.911649831649854, 37.57524893314329, 0.0, 0.0, 0.0, 0.0]",0.6129396058486967,"[0.6502169394731387, 0.5971908603487541, 0.0, 0.0, 0.0, 0.0]","[[-101, -31, 34, -10, 30, -23], [-98, -42, -2, 84, 60, -107], [65, -46, -22, -61, -87, 97], [84, 85, 84, 93, 18, -17]]",32.99416,"[32.1035690235691, 33.37041251778064, 0.0, 0.0, 0.0, 0.0]",0.5243827082008901,"[0.5102283697325016, 0.5303625638553885, 0.0, 0.0, 0.0, 0.0]","[0.06, 0.26, 0.14, 0.54]",3uXiz4V3sUrSmY9,-1.0,75.0,0.9514563106796116,0.9494949494949495,0.9504950495049505
0.0,0.0,0.48,0.0,0.52,0.0,0.316,0.07118055555555558,0.1875,4.0,2.293,58.78376000000001,"[57.902769230769756, 59.73816666666713, 0.0, 0.0, 0.0, 0.0]",0.8536706360731918,"[0.8408766951897901, 0.8675307386968699, 0.0, 0.0, 0.0, 0.0]","[[-69, 74, -146, 18, -66, -39], [-59, 123, 55, -117, -17, -38], [32, 53, 83, 32, -9, -48], [-24, -104, 109, 21, 25, 52]]",49.61176000000001,"[45.07969230769263, 54.5215000000004, 0.0, 0.0, 0.0, 0.0]",0.7204728434504791,"[0.6546571639223401, 0.7917731629392968, 0.0, 0.0, 0.0, 0.0]","[0.06, 0.07, 0.81, 0.06]",si1lNmExwYp0qHd,-1.0,75.0,0.9514563106796116,0.9494949494949495,0.9504950495049505
0.0,0.0,0.569,0.0,0.431,0.0,0.316,0.06750833333333334,0.1875,4.0,2.4,60.6077,"[57.20375870069624, 63.18608084358569, 0.0, 0.0, 0.0, 0.0]",0.7830452196382428,"[0.7390666498797945, 0.8163576336380559, 0.0, 0.0, 0.0, 0.0]","[[61, -42, -94, -52, -163, 53], [85, -65, -84, 88, 40, 87], [53, -6, 64, -32, 83, -117], [101, 67, 39, -108, -29, 8]]",51.0077,"[43.31976798143837, 56.831072056239506, 0.0, 0.0, 0.0, 0.0]",0.6590142118863048,"[0.5596869248247868, 0.7342515769539919, 0.0, 0.0, 0.0, 0.0]","[0.51, 0.17, 0.01, 0.31]",55wGWrG0AsulSFG,-1.0,75.0,0.9514563106796116,0.9494949494949495,0.9504950495049505
0.0,0.0,0.691,0.0,0.309,0.0,3.162,0.07039166666666667,0.1875,1.0,2.307,31.83008000000001,"[39.67000000000006, 28.324240231548448, 0.0, 0.0, 0.0, 0.0]",0.6105904469595242,"[0.7609821599846512, 0.5433385810770895, 0.0, 0.0, 0.0, 0.0]","[[1, 65, 8, 6, 47, 37], [23, -138, 57, 1, -97, -73], [-83, -200, 54, 89, 118, -117], [-32, 87, 70, -56, -19, -5]]",29.52308000000001,"[36.589093851132745, 26.36331403762656, 0.0, 0.0, 0.0, 0.0]",0.5663356992135048,"[0.7018817159242791, 0.5057225021604952, 0.0, 0.0, 0.0, 0.0]","[0.15, 0.13, 0.43, 0.29]",aA237K2hoPccOCz,-1.0,75.0,1.029126213592233,1.0303030303030303,1.0297029702970297
0.0,0.0,0.0,0.0,1.0,0.0,3.162,0.0032928240740740747,0.08567708333333332,1.0,8.465,34.49553999999999,"[34.495539999999764, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8425876893014166,"[0.8425876893014184, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-85, 44, -96, -82, -36, 62], [-103, 20, 12, 8, 1, -43], [41, -70, 89, 62, 54, 43], [19, -133, -24, 127, 45, 36]]",26.03054,"[26.03053999999977, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6358216902784564,"[0.6358216902784656, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.14, 0.45, 0.05, 0.36]",l6dGWbHa5ETDOcj,-0.9565714285714286,75.0,1.029126213592233,1.0303030303030303,1.0297029702970297
0.0,0.0,0.8190000000000001,0.18,0.001,0.0,3.162,0.040450000000000014,0.1875,1.0,3.533,79.09213000000003,"[21.28, 79.15000000000101, 79.14999999999976, 0.0, 0.0, 0.0]",0.9992688566013898,"[0.26885660138976625, 1.0, 1.0, 0.0, 0.0, 0.0]","[[59, -89, 21, -2, 37, 133], [-18, -27, 46, 2, -14, -42], [59, -48, -70, -34, 54, 132], [138, -20, 55, -19, -23, -19]]",75.55913000000002,"[16.28, 76.16098901099001, 73.14999999999976, 0.0, 0.0, 0.0]",0.9546320909665194,"[0.20568540745420089, 0.962236121427537, 0.9241945672773202, 0.0, 0.0, 0.0]","[0.13, 0.2, 0.22, 0.45]",8EHleEowa3Bcw0G,-1.0,75.0,1.029126213592233,1.0303030303030303,1.0297029702970297
0.0,0.0,0.0,0.0,1.0,0.0,0.316,0.0028344671201814067,0.1262755102040816,1.0,7.0,23.27,"[23.270000000000355, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-62, -42, -7, -47, -26, -14], [-13, -71, 120, -32, 98, -95], [-68, 29, -35, -55, -23, 22], [23, 4, 10, 112, 48, -82]]",16.270000000000003,"[16.270000000000323, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6991834980661799,"[0.6991834980661881, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.59, 0.22, 0.02, 0.17]",EDYV3TvmyqJrQOZ,-0.9396666666666668,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.059000000000000004,0.0,0.941,0.0,3.162,0.018453200113378688,0.11880052437641725,1.0,5.3260000000000005,49.62032000000002,"[50.81413390010608, 30.579999999999977, 0.0, 0.0, 0.0, 0.0]",0.8790136403897255,"[0.9001618051391753, 0.5417183348095661, 0.0, 0.0, 0.0, 0.0]","[[7, -95, 8, -33, 43, -148], [36, -62, 14, 74, 0, 49], [-64, -38, 68, 51, -33, -99], [-18, -90, 7, 63, -23, -100]]",44.294320000000006,"[45.40499468650372, 26.579999999999984, 0.0, 0.0, 0.0, 0.0]",0.7846646589902568,"[0.804340029876065, 0.47085916740478256, 0.0, 0.0, 0.0, 0.0]","[0.06, 0.31, 0.35, 0.28]",U6NalRd3JS7aHgM,-0.8332904761904761,75.0,1.029126213592233,1.0303030303030303,1.0297029702970297
